"ft_black_2016","ft_white_2016","ft_hisp_2016","ft_asian_2016","ft_muslim_2016","ft_jew_2016","ft_christ_2016","ft_fem_2016","ft_immig_2016","ft_blm_2016","ft_wallst_2016","ft_gays_2016","ft_unions_2016","ft_police_2016","ft_altright_2016","ImmFactor"
"290",52,50,50,51,49,53,52,51,49,49,NA,50,73,52,NA,"unfavorable"
"291",61,50,57,87,29,81,81,5,23,4,25,35,10,88,50,"strongly unfaborable"
"292",45,50,39,50,4,97,50,0,4,0,0,49,6,50,65,"strongly unfaborable"
"293",74,78,79,82,75,78,51,74,60,55,11,80,90,76,1,"lightly favorable"
"294",80,80,80,80,25,80,100,0,50,0,50,80,0,100,0,"unfavorable"
"295",70,79,30,75,9,94,95,5,25,21,41,6,26,50,51,"strongly unfaborable"
"296",100,NA,99,99,100,99,99,100,100,100,100,100,100,4,NA,"favorable"
"297",50,81,60,67,50,76,94,38,50,12,61,50,59,85,67,"unfavorable"
"298",95,67,66,80,81,66,96,4,66,20,40,87,31,95,NA,"lightly favorable"
"299",100,100,100,100,100,100,50,100,100,100,25,100,100,80,NA,"favorable"
"300",73,80,61,53,29,80,93,30,38,NA,49,51,32,94,69,"unfavorable"
"301",16,90,50,70,9,90,55,3,41,2,20,9,8,69,75,"unfavorable"
"302",91,96,97,96,93,96,78,90,85,46,11,93,99,61,3,"favorable"
"303",51,NA,51,40,NA,50,NA,NA,NA,51,NA,50,NA,90,NA,NA
"304",88,97,97,97,74,99,93,79,93,8,43,86,37,97,25,"favorable"
"305",50,50,50,50,40,50,90,NA,50,NA,35,40,40,90,50,"unfavorable"
"306",50,50,50,50,11,89,94,12,50,2,50,4,50,94,50,"unfavorable"
"307",50,51,99,50,50,50,49,50,97,7,32,51,62,90,NA,"favorable"
"308",100,100,100,100,1,100,100,25,100,0,100,31,31,100,NA,"favorable"
"309",53,53,93,55,50,53,52,53,81,51,3,84,68,50,2,"favorable"
"310",52,50,50,51,51,52,51,51,51,3,52,51,4,100,21,"lightly favorable"
"311",100,100,94,100,22,100,90,59,94,66,21,100,60,84,41,"favorable"
"312",70,91,80,100,52,80,91,32,50,1,51,NA,41,72,89,"unfavorable"
"313",77,76,75,77,50,75,74,55,28,55,58,78,42,77,49,"unfavorable"
"314",90,90,90,90,50,90,80,40,90,1,50,90,60,85,20,"favorable"
"315",79,99,72,32,6,88,99,18,76,2,38,48,0,94,51,"favorable"
"316",88,86,80,89,56,91,90,14,84,1,78,54,32,97,NA,"favorable"
"317",95,90,91,91,78,80,80,95,92,93,32,97,75,94,0,"favorable"
"318",84,96,96,96,81,91,93,NA,80,NA,55,95,NA,99,NA,"favorable"
"319",90,80,90,90,61,90,90,40,90,41,50,90,41,80,50,"favorable"
